"No.","Time","Source","Destination","Protocol","Length","Info"
"581","1101.829521","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"582","1102.577487","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"583","1103.998799","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"585","1106.416818","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"586","1107.399646","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"588","1108.709261","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"589","1110.841910","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"590","1112.211329","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"591","1113.541948","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"593","1115.708713","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"594","1116.623422","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"596","1117.914073","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"597","1120.083520","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"598","1121.375013","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"599","1122.736593","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"600","1124.972112","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"602","1125.712377","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"603","1127.230807","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"605","1129.509822","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"606","1130.174177","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"607","1132.217248","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"608","1134.154305","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"609","1134.847754","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"612","1136.836714","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"614","1138.648805","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"615","1139.773276","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"616","1141.503308","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"617","1143.215653","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"618","1144.053959","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"621","1146.477731","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"623","1148.185482","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"624","1148.485529","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"626","1151.307219","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"627","1152.778061","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"628","1153.446616","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"630","1156.068151","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"632","1157.640363","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"633","1158.198078","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"634","1160.409774","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"635","1162.180313","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"636","1162.717354","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"637","1165.032412","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"639","1167.011809","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"640","1167.011997","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"642","1169.951875","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"643","1171.781987","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"644","1172.008176","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"645","1174.353556","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"647","1176.159198","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"648","1176.389304","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"650","1178.859559","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"651","1180.432638","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"652","1181.246166","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"653","1183.283785","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"655","1185.190751","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"656","1185.882015","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"658","1187.654645","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"659","1189.504436","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"660","1190.228640","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"661","1192.574689","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"662","1193.927577","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"663","1194.614427","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"665","1197.490906","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"667","1198.839493","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"669","1199.438075","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"671","1202.494679","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"672","1203.560885","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"673","1203.717306","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"675","1207.231213","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"677","1207.962122","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"678","1208.703487","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"679","1211.821942","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"680","1212.306815","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"681","1213.284500","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"683","1216.577957","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"684","1217.232224","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"686","1217.762225","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"687","1221.140291","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"688","1221.802287","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"689","1222.670896","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"691","1225.843678","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"692","1226.712067","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"693","1227.479356","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"695","1230.799018","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"696","1231.000453","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"697","1232.072376","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"698","1235.089887","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"700","1235.348011","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"701","1236.995491","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"703","1239.406332","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"704","1240.115712","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"705","1241.344994","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"706","1243.935325","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"707","1244.398189","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"709","1245.721585","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"711","1248.466173","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"712","1249.188333","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"714","1250.579952","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"715","1253.036014","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"716","1253.593122","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"718","1255.210205","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"721","1260.001848","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"722","1264.739477","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"724","1268.039507","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"725","1273.043245","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"726","1277.629082","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
